ID,Código,EXPEDIENTE,ENTIDAD,Dirección/Dependencia,Estado,Solicitudes de acompañamiento en gestión del conocimiento,Fecha de la solicitud por parte de la entidad o dependencia,Proceso de gestión del conocimiento,Linea de investigación,Objetivo de la investigación,Productos entregables,Método de recolección,Instrumentos seleccionados,Porcentaje de avance,Investigador responsable,Apoyo y seguimiento,Equipo,Observaciones,Fecha estimada entrega para diagramación,Título,Descripción,Fecha socialización,Vídeo socialización,Link Ficha,Ficha lista para envío,Fecha envío
1,IDARTES 09 2023 CARACTERIZACION SECTOR CIRCO,202391004200100020E,IDARTES,G. Arte Dramático,En ejecución,"Caracterización del Sector Circo, identificación de actores, dinámicas, prácticas",2022,"Caracterizaciones, diagnósticos y líneas de base",Investigación del sector cultura ,"Diseñar y realizar un ejercicio de caracterización del Sector Circo de la Ciudad que permita tener una cartografía social de con una descripción y análisis de actores, dinámicas y prácticas artísticas y sociales",Documento ,Método cualitativo,Entrevistas ,90%,Viviana Rodriguez ,Sector cultura ,Sector cultura,Análisis de información,11/09/2023,Informe caracterización sector circo,Comentarios finales de la entidad,,,,No,
2,IDARTES 10 2023 ESTUDIO IMPACTO SALAS CONCERTADAS,202391004200100021E,IDARTES,G. Arte Dramático,En ejecución,Estudio del impacto y/o análisis con las Salas concertadas,2022,"Caracterizaciones, diagnósticos y líneas de base",Investigación del sector cultura ,"Diseñar y realizar un estudio cualitativo de percepción con representantes de las Salas de teatro de Bogotá, respecto al impacto que ha tenido en el sector, el Programa de Salas Concertadas que ha liderado la Gerencia de Arte Dramático desde su inicio",Documento ,Método cualitativo,Focus Group ,90%,Carlos Suarez ,Sector cultura ,Sector cultura,Análisis de información,16/09/2023,Estudio impacto salas concertadas,,,,,No,
3,IDARTES 11 2023 CARACTERIZACIÓN PÚBLICOS CINEMATECA ,202391004200100019E,IDARTES,G. Audiovisuales ,En ejecución,Caracterización de públicos - Cinemateca de Bogotá,2022,"Caracterizaciones, diagnósticos y líneas de base",Investigación del sector cultura ,Caracterizar las audiencias que asisten a los espacios de la Cinemateca de Bogotá- Centro Cultural de las Artes Audiovisuales.,Documento ,Método cualitativo,Observación participante,80%,Alexandra Morales,Sector cultura ,Sector cultura,Recolección de información en campo (cualitativo),08/09/2023,Informe caracterización públicos cinemateca,Se entregará esta semana,,,,No,
4,SCRD 01 BOGOTÁ SABE A CENTRO ,202391004200100027E,SCRD,Despacho SCRD ,En ejecución,"Estrategia Bogotá sabe a centro: Corredor cultural carrera séptima y zona centro - Medición restaurantesy grastrobares
",1/02/2023,"Seguimiento, monitoreo y evaluaciones",Investigación del sector cultura ,Medir la percepción del efecto de la programación cultural de la Carrera séptima sobre los establecimientos gastronómicos formales ubicados en la zona.,Documento ,Método mixto ,Cuatitatito y cualitativo,75%,Karen Higuera/Carlos Suarez,Sector cultura ,Sector cultura,Diseño metodologico,09/09/2023,Informe Bogotá Sabe a Centro,Karen avanza en la sistematizacion del informe,,,,No,
5,FUGA 01 2023 BRONX DISTRITO CREATIVO,202391004200100023E,FUGA,FUGA,En ejecución,Sistematización y memoria social: Bronxs Distrito Creativo,28/02/2023,"Caracterizaciones, diagnósticos y líneas de base",Investigación del sector cultura ,,,Método cuantitativo ,Encuesta ,90%,Viviana Rodriguez ,Sector cultura,Sector cultura,Diseño metodologico,23/08/2023,Informe de percepción de marca_Bronx distrito creativo,,,,,No,
6,IDARTES 12 2023 LABOR CONSEJEROS DISTRITALES ,202391004200100022E,IDARTES,Subdirección de las Artes,En ejecución,Definición y caracterización de los perfiles y roles de los  consejeros distritales de áreas artísticas,7/03/2023,"Caracterizaciones, diagnósticos y líneas de base",Investigación del sector cultura ,,,Método mixto ,En proceso ,70%,Viviana Rodriguez ,Sector cultura,Sector cultura,Diseño metodologico,18/09/2023,Informe caracterización Consejeros distritales,Cómo hacer la tranferencia metodologica a Hugo,,,,No,
7,FOMENTO 01 2023 BATERÍA DE INDICADORES FOMENTO,202391004200100026E,SCRD,Fomento,En ejecución,"Consolidar una nueva batería de indicadores de fomento que permitan entender el fomento como un fenómeno amplio que incluye fortalecimientos del ecosistema artístico, articulación, recursos incentivos y amplitud de las posibilidades de gestión. ",14/03/2023,Indicadores,Investigación del sector cultura ,"
Consolidar una nueva batería de indicadores de fomento que permitan entender el fomento como un fenómeno amplio que incluye fortalecimientos del ecosistema artístico, articulación, recursos incentivos y amplitud de las posibilidades de gestión. ",,Método mixto ,En proceso ,80%,Alexandra Morales,Sector cultura,Sector cultura,Diseño de variables,30/08/2023,Informe diseño de indicadores Fomento Expandido,Ya en revisión,,,,No,
8,DIRECCIÓN DE BIBLIOTECAS 02 2023 EVALUACIÓN LECTURAS EN MOVIMIENTO,202391004200100029E,SCRD,Dirección de Lectura y Bibliotecas,En ejecución,Evaluación de la estrategia: Lecturas en movimiento - Transmilenio,14/03/2023,"Seguimiento, monitoreo y evaluaciones",Investigación del sector cultura ,,,Método cualitativo,En proceso ,70%,Carlos Suarez ,Sector cultura,Sector cultura,Recolección de información en campo (cuantativo),31/08/2023,Lecturas en Movimiento,,,,,No,
9,CANAL CAPITAL 01 2023 CARACTERIZACIÓN CONEXIÓN EMOCIONAL DE LAS LOCALIDADES,202391004200100025E,Canal Capital,Canal Capital,En ejecución,Caracterizar a los diferentes segmentos poblacionales de la Bogotá región en virtud de su conexión emocional con las localidades,15/03/2023,"Caracterizaciones, diagnósticos y líneas de base",Investigación del sector cultura ,,,Método mixto ,En proceso ,60%,Alexandra Morales,Sector cultura,Sector cultura,Recolección de información en campo (cuantativo),A falta de datos.,,,,,,No,
10,"SCRD 01 2023 ENCUESTA LECTURA, ESCRITURA, ORALIDAD Y ESPACIOS DE LECTURA ",202391004200100032E,SCRD,Dirección de Lectura y Bibliotecas,En ejecución,"Encuesta Lectura, Escritura, Oralidad y Espacios de Lectura 2023",N/A,"Seguimiento, monitoreo y evaluaciones",Investigación del sector cultura ,,,Método cuantitativo ,Encuesta ,70%,Gustavo Romero,Analítica,Analítica/Sector cultura,,08/12/2023,,,,,,No,
