ID Investigación,Código Investigación,Expediente,Tipo producto,Título,Incluir en ficha,Orden,Link inicial,Requiere edición,Link del editable,Link para ficha,% de Avance,Estado de edición,Fecha estimada,Notas
12,IDARTES 02 2023 COLOMBIA AL PARQUE,202391004200100003E,Informe final,Informe final de la investigación,Sí,1,https://docs.google.com/presentation/d/1BEvawuuMNEyZ_M57vjYQKiHQ7NPuD2Jzy3P9M_A3__Q/edit#slide=id.p,Sí,,https://drive.google.com/file/d/169ZUMSTEKXpn2zS3ahwXd6dniR25Tvae/view?usp=drive_link,100,5 Finalizado,,
12,IDARTES 02 2023 COLOMBIA AL PARQUE,202391004200100003E,Informe cuantitativo,Informe Ejecutivo: Análisis Multivariado Colombia al Parque,No,2,https://docs.google.com/document/d/17w9QMkqekiutoUppejDaQBhwKhVbLdwH/edit,,,,,0 No aplica,,Título original: Analisis-multivariado-ejecutivo revisado (Logístico). Se confirma que no va en la ficha.
12,IDARTES 02 2023 COLOMBIA AL PARQUE,202391004200100003E,Informe cuantitativo,Informe de procesamiento,Sí,3,https://docs.google.com/document/d/1-vb94XVdBj4967IWFxZz7T1P7m_Pn-fa/edit,,,https://drive.google.com/file/d/1uT9-dKpf0RrXBUiWlBHSP6BwzJj5nYvA/view?usp=sharing,,5 Finalizado,,PDF Generado 2023-06-22
12,IDARTES 02 2023 COLOMBIA AL PARQUE,202391004200100003E,Presentación,Presentación final ,Sí,4,https://docs.google.com/presentation/d/1MC8Cb7Ep5aPgFt1KJ2z38E75k_5R9mF9/edit?usp=drive_link&ouid=115906425371686900342&rtpof=true&sd=true,No,,https://drive.google.com/file/d/1dTBoXEHWjsSqe63u4AJ5RV4Mzwr8QHnr/view?usp=drive_link,,1 Para editar,,
12,IDARTES 02 2023 COLOMBIA AL PARQUE,202391004200100003E,Anexo,Formularios Colombia al Parque 2023 finales,Sí,6,https://docs.google.com/spreadsheets/d/10Ji2aknkTS9lLWOBsAT0VYooTDK1yFj4/edit?usp=sharing&ouid=105090632649587320414&rtpof=true&sd=true,,,https://docs.google.com/spreadsheets/d/1s5UXeVr_m6gUd7nmIeMx-IExk3waex40/edit?usp=sharing&ouid=105090632649587320414&rtpof=true&sd=true,,5 Finalizado,,
12,IDARTES 02 2023 COLOMBIA AL PARQUE,202391004200100003E,Base de datos,Base de datos respuestas encuesta Colombia al Parque 2023,Sí,2,https://drive.google.com/drive/folders/1mSXEQtZydh-OrDdZdMjJnAnkRM5Pkjzd?usp=sharing,,,https://drive.google.com/drive/folders/1tUe7lCvSwn81YX_xTZWKhcyfPSi9-rBQ?usp=sharing,,1 Para editar,,Base de datos Colombia al Parque 2023
12,IDARTES 02 2023 COLOMBIA AL PARQUE,202391004200100003E,Anexo,Informe de conteos de asistencias,Sí,5,https://docs.google.com/document/d/1PVRnAst27b5B7qVaCfbNFk-oVMbOPXNe/edit,,,https://drive.google.com/file/d/1vcKNETLzMpuh5irL9MIryHC-USmViEwZ/view?usp=drive_link,,5 Finalizado,,PDF Generado 2023-06-22
12,IDARTES 02 2023 COLOMBIA AL PARQUE,202391004200100003E,Carpeta archivos,Carpeta equipo Analítica,No,,https://drive.google.com/drive/u/0/folders/158aWSIt342kUebDY6AZJiE8SX5yzdb3g,,,,,0 No aplica,,
12,IDARTES 02 2023 COLOMBIA AL PARQUE,202391004200100003E,Carpeta archivos,Carpeta con bases de datos de las encuestas del festival,No,,https://drive.google.com/drive/folders/1e5hDuugqQCXzTlMrRXDUiRHMzqo1pLKd,,,,,0 No aplica,,
12,IDARTES 02 2023 COLOMBIA AL PARQUE,202391004200100003E,Carpeta archivos,Carpeta equipo Sector Cultura,No,,https://drive.google.com/drive/u/0/folders/1MVfTAmSuyYXfKLIY0oN2GBIXxoJdIuH8,,,,,0 No aplica,,
40,LINEA CALMA 03 ESTANDARIZACIÓN DATOS,,Visualización/Infografía,Tablero de visualización Línea Calma,Sí,1,,Sí,,https://lookerstudio.google.com/embed/u/0/reporting/6d0a6608-79d1-409c-8575-e4ae0da471a1/page/UL1SD,10,2 En proceso,,
40,LINEA CALMA 03 ESTANDARIZACIÓN DATOS,,Base de datos,Base de datos Línea Calma,Sí,2,https://docs.google.com/spreadsheets/d/1tILl09ki69tb7mraNdLMO4Gie0vQnwIWdt9cyq1YOX8/edit#gid=320503980,No,,,,0 No aplica,,No aplica para lista de mediciones
4,SCRD 01 BOGOTÁ SABE A CENTRO ,202391004200100027E,Carpeta archivos,Carpeta equipo Analítica,No,,https://drive.google.com/drive/folders/1gX5_ticWfzE7hu5oz_RjRLwMdvK33Gbt,,,,,0 No aplica,,
4,SCRD 01 BOGOTÁ SABE A CENTRO ,202391004200100027E,Base de datos,BBDD_BSC_Fex (Depurada_Anonimizada),Sí,,,,,https://docs.google.com/spreadsheets/d/1u8_a2mdeD8GwJix4TdsoospVj2TYOa5-/edit#gid=496509788,,0 No aplica,,
4,SCRD 01 BOGOTÁ SABE A CENTRO ,202391004200100027E,Informe cuantitativo,Procesamiento Estadístico - Bogotá Sabe a Centro 2023,Sí,,https://docs.google.com/document/d/10_O9EcwUSDcjEYXYwuEw_LgYcqGz7-mQ/edit,,,,,1 Para editar,,Generar PDF
4,SCRD 01 BOGOTÁ SABE A CENTRO ,202391004200100027E,Informe cuantitativo,Tablas de salida univariadas Bogotá Sabe a Centro 2023,No,,https://docs.google.com/spreadsheets/d/1DeP1EjvMrf9g6knYW13l_9aCvEbsg6mK/edit#gid=1940153683,,,,,0 No aplica,,
